"meteorite_name","recclass","mass_g","impact_year"
"Konovo","LL5",90,1931
"Košice","H5",4300,2010
"Krähenberg","LL5",16500,1869
"Krasnoi-Ugol","L6",2440,1829
"Krasnyi Klyuch","H5",4000,1946
"Krutikha","OC",845.2,1906
"Krymka","LL3.2",50000,1946
"Kukschin","L6",2250,1938
"Kulak","L5",453.6,1961
"Kuleschovka","L6",6000,1811
"Kulp","H6",3719,1906
"Kunashak","L6",200000,1949
"Kunya-Urgench","H5",1100000,1998
"Kushiike","OC",4460,1920
"Kusiali","L6",5,1860
"Kutais","H5",23,1977
"Kuttippuram","L6",45000,1914
"Kuznetzovo","L6",4047,1932
"Kyushu","L6",45000,1886
"La Bécasse","L6",2800,1879
"La Charca","OC",399,1878
"La Colina","H5",2000,1924
"La Criolla","L6",45000,1985
"Laborel","H5",3833,1871
"Lahrauli","Ureilite",900,1955
"L'Aigle","L6",37000,1803
"Lakangaon","Eucrite-mmict",212.5,1910
"Lalitpur","L6",372,1887
"Lancé","CO3.5",51700,1872
"Lancon","H6",7000,1897
"Långhalsen","L6",2300,1947
"Lanxi","L6",1282,1986
"Lanzenkirchen","L4",7000,1925
"Laochenzhen","H5",14250,1987
"Launton","L6",1060,1830
"Lavrentievka","L6",800,1938
"Le Pressoir","H5",3000,1845
"Le Teilleul","Howardite",780,1845
"Leedey","L6",51500,1943
"Leeuwfontein","L6",460,1912
"Leighlinbridge","L6",271.4,1999
"Leighton","H5",877,1907
"Leonovka","L6",700,1900
"Les Ormes","L6",125,1857
"Lesves","L6",2000,1896
"Lichtenberg","H6",4000,1973
"Lillaverke","H5",6862,1930
"Limerick","H5",50000,1813
"Linum","L6",1862,1854
"Lishui","L5",498,1978
"Lissa","L6",12800,1808
"Little Piney","L5",491,1839
"Lixna","H4",5213,1820
"Lodran","Lodranite",1000,1868
"Lohawat","Howardite",40000,1994
"Lorton","L6",329.7,2010
"Los Martinez","L6",25,1894
"Lost City","H5",17000,1970
"Louisville","L6",1300,1977
"Łowicz","Mesosiderite-A3",59000,1935
"Lua","L5",9241,1926
"Lucé","L6",3500,1768
"Lumpkin","L6",340,1869
"Lunan","H6",2520,1980
"Lundsgård","L6",11000,1889
"Luotolax","Howardite",885,1813
"Luponnas","H3-5",14000,1753
"Mabwe-Khoywa","L5",540,1937
"Macau","H5",1500,1836
"Machinga","L6",93200,1981
"Macibini","Eucrite-pmict",1995,1936
"Madhipura","L",1000,1950
"Madiun","L6",400,1935
"Madrid","L6",400,1896
"Mafra","L3-4",600,1941
"Magnesia","Iron, IAB-sHL",5000,1899
"Magombedze","H3-5",666.6,1990
"Mahadevpur","H4/5",70500,2007
"Maigatari-Danduma","H5/6",4629,2004
"Malaga","OC",150,1933
"Malakal","L5",2000,1970
"Malampaka","H",470,1930
"Malvern","Eucrite-pmict",807,1933
"Mamra Springs","L6",1000,1927
"Manbhoom","LL6",1700,1863
"Manegaon","Diogenite",50,1843
"Mangwendi","LL6",22300,1934
"Manych","LL3.4",3555,1951
"Mardan","H5",4500,1948
"Mariaville","Iron",340,1898
"Maribo","CM2",25.81,2009
"Maridi","H6",3200,1941
"Marilia","H4",2500,1971
"Marion (Iowa)","L6",28400,1847
"Marjalahti","Pallasite, PMG",45000,1902
"Marmande","L5",3000,1848
"Maromandia","L6",6000,2002
"Maryville","L6",1443,1983
"Mascombes","L6",1000,1836
"Mason Gully","H5",24.54,2010
"Mässing","Howardite",1600,1803
"Mauerkirchen","L6",19000,1768
"Mauritius","L6",220,1801
"Mayo Belwa","Aubrite",4850,1974
"Mazapil","Iron, IAB-sLL",4000,1885
"Maziba","L6",4975,1942
"Mbale","L5/6",150000,1992
"Medanitos","Eucrite-cm",31,1953
"Meerut","H5",22,1861
"Meester-Cornelis","H5",24750,1915
"Menow","H4",10500,1862
"Menziswyl","L5",28.9,1903
"Mern","L6",4000,1878
"Meru","LL6",6000,1945
"Merua","H5",71400,1920
"Messina","L5",2405,1955
"Meuselbach","L6",870,1897
"Mezel","L6",1300,1949
"Mezö-Madaras","L3.7",22700,1852
"Mhow","L6",350,1827
"Mianchi","H5",1100,1980
"Middlesbrough","L6",1600,1881
"Mifflin","L5",3584,2010
"Mighei","CM2",8000,1889
"Mihonoseki","L6",6380,1992
"Mike","L6",224.2,1944
"Milena","L6",10000,1842
